2026-06-18 11:06:06,668 | INFO | post/agents called 
2026-06-18 11:30:43,714 | INFO | put/agents/9 called 
2026-06-18 11:30:43,715 | INFO | start updating agent 9... 
2026-06-18 11:35:49,500 | INFO | put/agents/99 called 
2026-06-18 11:35:49,501 | INFO | start updating agent 99... 
2026-06-18 11:37:15,552 | INFO | put/agents/99 called 
2026-06-18 11:37:15,552 | INFO | start updating agent 99... 
2026-06-18 11:37:28,827 | INFO | put/agents/99 called 
2026-06-18 11:37:28,828 | INFO | start updating agent 99... 
2026-06-18 11:38:34,191 | INFO | put/agents/99 called 
2026-06-18 11:38:34,192 | INFO | start updating agent 99... 
2026-06-18 11:39:21,351 | INFO | put/agents/99 called 
2026-06-18 11:39:21,352 | INFO | start updating agent 99... 
2026-06-18 11:39:45,343 | INFO | put/agents/99 called 
2026-06-18 11:39:45,344 | INFO | start updating agent 99... 
2026-06-18 11:39:54,981 | INFO | put/agents/9 called 
2026-06-18 11:39:54,982 | INFO | start updating agent 9... 
2026-06-18 11:39:59,794 | INFO | put/agents/9 called 
2026-06-18 11:39:59,795 | INFO | start updating agent 9... 
2026-06-18 11:40:01,650 | INFO | put/agents/9 called 
2026-06-18 11:40:01,651 | INFO | start updating agent 9... 
2026-06-18 11:40:21,005 | INFO | put/agents/9 called 
2026-06-18 11:40:21,006 | INFO | start updating agent 9... 
2026-06-18 11:40:30,299 | INFO | put/agents/9 called 
2026-06-18 11:40:30,300 | INFO | start updating agent 9... 
2026-06-18 11:40:36,862 | INFO | put/agents/9 called 
2026-06-18 11:40:36,863 | INFO | start updating agent 9... 
2026-06-18 11:41:56,469 | INFO | put/agents/9 called 
2026-06-18 11:41:56,470 | INFO | start updating agent 9... 
2026-06-18 11:42:38,933 | INFO | put/agents/9 called 
2026-06-18 11:47:37,020 | INFO | put/agents/9 called 
2026-06-18 11:47:37,021 | INFO | start updating agent 9... 
2026-06-18 11:47:42,231 | INFO | put/agents/9 called 
2026-06-18 11:47:42,231 | INFO | start updating agent 9... 
2026-06-18 11:47:43,232 | INFO | put/agents/9 called 
2026-06-18 11:47:43,232 | INFO | start updating agent 9... 
2026-06-18 11:49:12,808 | INFO | put/agents/99 called 
2026-06-18 11:49:12,809 | INFO | start updating agent 99... 
2026-06-18 11:49:57,072 | INFO | put/agents/99 called 
2026-06-18 11:49:57,072 | INFO | start updating agent 99... 
2026-06-18 11:50:06,895 | INFO | put/agents/9 called 
2026-06-18 11:50:06,895 | INFO | start updating agent 9... 
2026-06-18 11:52:18,875 | INFO | put/agents/9 called 
2026-06-18 11:52:18,880 | INFO | start updating agent 9... 
2026-06-18 11:53:06,934 | INFO | put/agents/9 called 
2026-06-18 11:53:06,938 | INFO | start updating agent 9... 
2026-06-18 11:53:16,521 | INFO | put/agents/9 called 
2026-06-18 11:53:16,524 | INFO | start updating agent 9... 
2026-06-18 11:53:19,867 | INFO | put/agents/9 called 
2026-06-18 11:53:19,870 | INFO | start updating agent 9... 
2026-06-18 11:53:25,412 | INFO | put/agents/97 called 
2026-06-18 12:08:18,621 | INFO | get/agents called 
2026-06-18 12:08:18,622 | INFO | getting list of all agents... 
2026-06-18 12:08:18,626 | INFO | getting list of all agents completed 
2026-06-18 12:08:31,304 | INFO | get/agents/9 called 
2026-06-18 12:08:31,305 | INFO | start getting agent 9... 
2026-06-18 12:08:31,307 | INFO | getting agent 9 completed 
2026-06-18 12:08:35,137 | INFO | get/agents/99 called 
2026-06-18 12:08:35,138 | INFO | start getting agent 99... 
2026-06-18 12:08:35,148 | ERROR | agent 99 not found 
2026-06-18 12:08:47,532 | INFO | put/agents/8 called 
2026-06-18 12:08:47,537 | ERROR | agent 8 not found 
2026-06-18 12:08:59,403 | INFO | put/agents/9 called 
2026-06-18 12:08:59,407 | ERROR | user didn't enter any data 
2026-06-18 12:09:06,737 | INFO | put/agents/9 called 
2026-06-18 12:09:06,743 | INFO | start updating agent 9... 
2026-06-18 12:09:06,770 | INFO | agent 9 updated successfully 
2026-06-18 12:09:17,851 | INFO | put/agents/9/deactivate called 
2026-06-18 12:09:17,854 | INFO | start deactivating agent 9... 
2026-06-18 12:09:17,858 | INFO | agent 9 deactivated successfully 
2026-06-18 12:09:23,751 | INFO | put/agents/99/deactivate called 
2026-06-18 12:09:23,756 | ERROR | agent 99 not found 
2026-06-18 12:09:35,227 | INFO | get/agents/9/performance called 
2026-06-18 12:09:35,233 | INFO | start getting agent 9 performance... 
2026-06-18 12:09:35,236 | INFO | getting agent 9 performance completed 
2026-06-18 12:09:40,168 | INFO | get/agents/99/performance called 
2026-06-18 12:09:40,171 | ERROR | agent 99 not found 
2026-06-18 12:09:43,309 | INFO | get/agents/99a/performance called 
2026-06-18 12:09:43,310 | ERROR | agent id must be an integer 
2026-06-18 12:12:24,035 | INFO | put/agents/9/deactivate called 
2026-06-18 12:12:24,040 | INFO | start deactivating agent 9... 
2026-06-18 12:12:24,045 | INFO | agent 9 deactivated successfully 
2026-06-18 12:12:56,290 | INFO | put/agents/9/deactivate called 
2026-06-18 12:12:56,295 | INFO | start deactivating agent 9... 
2026-06-18 12:12:56,300 | INFO | agent 9 already inactive 
2026-06-18 12:19:43,885 | INFO | post/agents called 
2026-06-18 12:19:43,886 | INFO | adding a new agent 
2026-06-18 12:19:43,890 | ERROR | code: 1048, msg: Column 'specialty' cannot be null 
2026-06-18 12:21:44,775 | INFO | post/agents called 
2026-06-18 12:21:44,776 | INFO | adding a new agent 
2026-06-18 12:21:44,782 | ERROR | code: 1048, msg: Column 'specialty' cannot be null 
2026-06-18 12:22:16,744 | INFO | post/agents called 
2026-06-18 12:22:16,744 | INFO | adding a new agent 
2026-06-18 12:22:16,748 | ERROR | code: 1048, msg: Column 'name' cannot be null 
2026-06-18 12:23:50,476 | INFO | post/agents called 
2026-06-18 12:23:50,477 | INFO | adding a new agent 
2026-06-18 12:23:50,481 | ERROR | code: 1048, msg: Column 'specialty' cannot be null 
2026-06-18 12:24:03,777 | INFO | post/agents called 
2026-06-18 12:24:03,778 | INFO | adding a new agent 
2026-06-18 12:24:03,780 | ERROR | code: 1048, msg: Column 'name' cannot be null 
2026-06-18 12:24:30,700 | INFO | post/agents called 
2026-06-18 12:24:30,700 | INFO | adding a new agent 
2026-06-18 12:24:30,708 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:24:30,708 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:25:17,884 | INFO | post/agents called 
2026-06-18 12:25:17,885 | INFO | adding a new agent 
2026-06-18 12:25:17,892 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:25:17,892 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:25:41,392 | INFO | post/agents called 
2026-06-18 12:25:41,393 | INFO | adding a new agent 
2026-06-18 12:25:41,397 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:25:41,398 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:28:27,991 | INFO | post/agents called 
2026-06-18 12:28:27,991 | INFO | adding a new agent 
2026-06-18 12:28:27,994 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:28:31,388 | INFO | post/agents called 
2026-06-18 12:28:31,388 | INFO | adding a new agent 
2026-06-18 12:28:31,391 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:29:14,986 | INFO | post/agents called 
2026-06-18 12:29:14,987 | INFO | adding a new agent 
2026-06-18 12:29:14,992 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 12:29:35,992 | INFO | post/agents called 
2026-06-18 12:29:35,992 | INFO | adding a new agent 
2026-06-18 12:29:36,023 | INFO | agent created successfully 
2026-06-18 12:32:25,173 | INFO | post/agents called 
2026-06-18 12:32:25,173 | INFO | adding a new agent 
2026-06-18 12:35:13,309 | INFO | post/agents called 
2026-06-18 12:35:13,310 | INFO | adding a new agent 
2026-06-18 12:36:08,948 | INFO | post/agents called 
2026-06-18 12:36:08,949 | INFO | adding a new agent 
2026-06-18 12:36:08,978 | INFO | agent created successfully 
2026-06-18 15:04:05,927 | ERROR | code: 3819, msg: Check constraint 'missions_chk_2' is violated. 
2026-06-18 15:25:05,995 | INFO | get/agents called 
2026-06-18 15:25:05,995 | INFO | getting list of all agents... 
2026-06-18 15:25:06,004 | INFO | getting list of all agents completed 
2026-06-18 15:51:37,934 | INFO | start to close connection to db... 
2026-06-18 15:51:37,935 | INFO | connection to db has closed 
2026-06-18 15:52:27,515 | INFO | start to close connection to db... 
2026-06-18 15:52:27,515 | INFO | connection to db has closed 
2026-06-18 15:53:19,442 | INFO | get/agents/12 called 
2026-06-18 15:53:19,443 | INFO | start getting agent 12... 
2026-06-18 15:53:19,444 | INFO | getting agent 12 completed 
2026-06-18 15:54:05,187 | INFO | get/agents called 
2026-06-18 15:54:05,187 | INFO | getting list of all agents... 
2026-06-18 15:54:05,190 | INFO | getting list of all agents completed 
2026-06-18 15:55:31,966 | INFO | put/agents/12 called 
2026-06-18 15:55:31,973 | INFO | start updating agent 12... 
2026-06-18 15:55:31,984 | INFO | agent 12 updated successfully 
2026-06-18 15:56:34,125 | INFO | get/agents/9 called 
2026-06-18 15:56:34,126 | INFO | start getting agent 9... 
2026-06-18 15:56:34,127 | INFO | getting agent 9 completed 
2026-06-18 15:57:05,962 | INFO | get/agents/9 called 
2026-06-18 15:57:05,962 | INFO | start getting agent 9... 
2026-06-18 15:57:05,968 | INFO | getting agent 9 completed 
2026-06-18 16:00:04,843 | INFO | get/agents/9 called 
2026-06-18 16:00:04,845 | INFO | start getting agent 9... 
2026-06-18 16:00:04,850 | INFO | getting agent 9 completed 
2026-06-18 16:01:48,567 | INFO | get/agents/12 called 
2026-06-18 16:01:48,567 | INFO | start getting agent 12... 
2026-06-18 16:01:48,569 | INFO | getting agent 12 completed 
2026-06-18 16:04:17,766 | INFO | start to close connection to db... 
2026-06-18 16:04:17,767 | INFO | connection to db has closed 
2026-06-18 16:26:28,215 | INFO | start to close connection to db... 
2026-06-18 16:26:28,216 | INFO | connection to db has closed 
2026-06-18 16:29:01,026 | INFO | start to close connection to db... 
2026-06-18 16:29:01,027 | INFO | connection to db has closed 
2026-06-18 16:29:27,945 | INFO | start to close connection to db... 
2026-06-18 16:29:27,946 | INFO | connection to db has closed 
2026-06-18 16:31:40,860 | INFO | get/agents called 
2026-06-18 16:31:40,860 | INFO | getting list of all agents... 
2026-06-18 16:31:40,863 | INFO | getting list of all agents completed 
2026-06-18 16:32:11,459 | INFO | start to close connection to db... 
2026-06-18 16:32:11,459 | INFO | connection to db has closed 
2026-06-18 16:32:33,964 | INFO | start to close connection to db... 
2026-06-18 16:32:33,965 | INFO | connection to db has closed 
2026-06-18 16:32:52,691 | INFO | start to close connection to db... 
2026-06-18 16:32:52,692 | INFO | connection to db has closed 
2026-06-18 16:33:24,579 | INFO | start to close connection to db... 
2026-06-18 16:33:24,580 | INFO | connection to db has closed 
2026-06-18 16:33:50,723 | INFO | start to close connection to db... 
2026-06-18 16:33:50,723 | INFO | connection to db has closed 
2026-06-18 16:34:08,105 | INFO | start to close connection to db... 
2026-06-18 16:34:08,106 | INFO | connection to db has closed 
2026-06-18 16:34:26,583 | INFO | get/agents called 
2026-06-18 16:34:26,583 | INFO | getting list of all agents... 
2026-06-18 16:34:26,586 | INFO | getting list of all agents completed 
2026-06-18 16:35:11,181 | INFO | post/agents called 
2026-06-18 16:35:11,183 | INFO | adding a new agent 
2026-06-18 16:35:11,201 | INFO | agent created successfully 
2026-06-18 16:35:21,359 | INFO | post/agents called 
2026-06-18 16:35:21,360 | INFO | adding a new agent 
2026-06-18 16:35:21,371 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 16:35:56,443 | INFO | get/agents/13 called 
2026-06-18 16:35:56,444 | INFO | start getting agent 13... 
2026-06-18 16:35:56,447 | INFO | getting agent 13 completed 
2026-06-18 16:36:22,304 | INFO | put/agents/13 called 
2026-06-18 16:36:22,307 | INFO | start updating agent 13... 
2026-06-18 16:36:22,313 | ERROR | code: 1265, msg: Data truncated for column 'agent_rank' at row 1 
2026-06-18 16:36:35,444 | INFO | put/agents/13 called 
2026-06-18 16:36:35,454 | INFO | start updating agent 13... 
2026-06-18 16:36:35,460 | INFO | agent 13 updated successfully 
2026-06-18 16:36:50,153 | INFO | put/agents/13 called 
2026-06-18 16:36:50,156 | INFO | start updating agent 13... 
2026-06-18 16:36:50,165 | INFO | agent 13 updated successfully 
2026-06-18 16:37:05,344 | INFO | put/agents/13/deactivate called 
2026-06-18 16:37:05,349 | INFO | start deactivating agent 13... 
2026-06-18 16:37:05,368 | INFO | agent 13 deactivated successfully 
2026-06-18 16:37:11,525 | INFO | put/agents/13/deactivate called 
2026-06-18 16:37:11,527 | INFO | start deactivating agent 13... 
2026-06-18 16:37:11,534 | INFO | agent 13 already inactive 
2026-06-18 16:37:21,697 | INFO | get/agents/13/performance called 
2026-06-18 16:37:21,701 | INFO | start getting agent 13 performance... 
2026-06-18 16:37:21,706 | INFO | getting agent 13 performance completed 
2026-06-18 16:40:16,721 | INFO | start to close connection to db... 
2026-06-18 16:40:16,722 | INFO | connection to db has closed 
2026-06-18 16:40:31,847 | INFO | start to close connection to db... 
2026-06-18 16:40:31,848 | INFO | connection to db has closed 
2026-06-18 16:40:46,405 | INFO | start to close connection to db... 
2026-06-18 16:40:46,406 | INFO | connection to db has closed 
2026-06-18 16:42:18,798 | INFO | start to close connection to db... 
2026-06-18 16:42:18,800 | INFO | connection to db has closed 
2026-06-18 16:43:52,199 | INFO | start to close connection to db... 
2026-06-18 16:43:52,200 | INFO | connection to db has closed 
